date,title,service,closer_flag
2/20/2022,All Creatures Of Our God And King,AM,TRUE
2/20/2022,All Glory Be To Christ,AM,FALSE
2/20/2022,Holy Holy Holy Lord God Almighty,AM,FALSE
2/20/2022,Praise To The Lord The Almighty,AM,FALSE
2/20/2022,Yet Not I But Through Christ In Me,AM,FALSE
2/27/2022,In Christ Alone,AM,TRUE
2/27/2022,Yet Not I But Through Christ In Me,PM,TRUE
2/27/2022,All Creatures Of Our God And King,AM,FALSE
2/27/2022,Before The Throne Of God Above,AM,FALSE
2/27/2022,Man Of Sorrows,AM,FALSE
2/27/2022,Speak O Lord,AM,FALSE
2/27/2022,Come Behold The Wondrous Mystery,PM,FALSE
2/27/2022,In Christ Alone,PM,FALSE
3/6/2022,Holy Holy Holy Lord God Almighty,AM,TRUE
3/6/2022,Before The Throne Of God Above,AM,FALSE
3/6/2022,Come Behold The Wondrous Mystery,AM,FALSE
3/6/2022,How Deep The Father's Love For Us,AM,FALSE
3/6/2022,We Will Glorify,AM,FALSE
3/13/2022,All Glory Be To Christ,AM,TRUE
3/13/2022,Amazing Grace,PM,TRUE
3/13/2022,Christ The Sure And Steady Anchor,AM,FALSE
3/13/2022,Man Of Sorrows,AM,FALSE
3/13/2022,O For A Thousand Tongues To Sing,AM,FALSE
3/13/2022,Speak O Lord,AM,FALSE
3/13/2022,I Will Trust My Saviour Jesus,PM,FALSE
3/13/2022,Solid Rock/My Hope Is Built On Nothing Less,PM,FALSE
3/20/2022,Yet Not I But Through Christ In Me,AM,TRUE
3/20/2022,Behold Our God,AM,FALSE
3/20/2022,Crown Him With Many Crowns,AM,FALSE
3/20/2022,I Will Trust My Saviour Jesus,AM,FALSE
3/20/2022,In Christ Alone,AM,FALSE
3/27/2022,It Is Well With My Soul,AM,TRUE
3/27/2022,We Will Glorify,PM,TRUE
3/27/2022,Be Thou My Vision,AM,FALSE
3/27/2022,Christ Is Mine Forevermore,AM,FALSE
3/27/2022,Christ The Sure And Steady Anchor,AM,FALSE
3/27/2022,O God Beyond All Praising,AM,FALSE
3/27/2022,Christ Our Hope In Life And Death,PM,FALSE
3/27/2022,When I Survey The Wondrous Cross,PM,FALSE
4/3/2022,Holy Holy Holy Lord God Almighty,AM,TRUE
4/3/2022,All Creatures Of Our God And King,AM,FALSE
4/3/2022,Behold Our God,AM,FALSE
4/3/2022,Come Thou Fount,AM,FALSE
4/3/2022,His Mercy Is More,AM,FALSE
4/10/2022,What A Friend We Have In Jesus,AM,TRUE
4/10/2022,10000 Reasons,AM,FALSE
4/10/2022,All Praise To Him,AM,FALSE
4/10/2022,His Mercy Is More,AM,FALSE
4/10/2022,O For A Thousand Tongues To Sing,AM,FALSE
4/10/2022,Doxology,PM,TRUE
4/17/2022,Before The Throne Of God Above,AM,TRUE
4/17/2022,Christ Is Risen He Is Risen Indeed,AM,FALSE
4/17/2022,Come Behold The Wondrous Mystery,AM,FALSE
4/17/2022,Crown Him With Many Crowns,AM,FALSE
4/17/2022,It Was Finished Upon That Cross,AM,FALSE
4/24/2022,Jesus What A Friend For Sinners,AM,TRUE
4/24/2022,We Will Feast In The House Of Zion,PM,TRUE
4/24/2022,All Glory Be To Christ,AM,FALSE
4/24/2022,All Praise To Him,AM,FALSE
4/24/2022,Not In Me,AM,FALSE
4/24/2022,Speak O Lord,AM,FALSE
4/24/2022,Come Thou Fount,PM,FALSE
4/24/2022,Jesus Strong And Kind,PM,FALSE
5/1/2022,In Christ Alone,AM,TRUE
5/1/2022,Christ Our Hope In Life And Death,AM,FALSE
5/1/2022,Jerusalem,AM,FALSE
5/1/2022,Nothing But The Blood,AM,FALSE
5/1/2022,O God Beyond All Praising,AM,FALSE
5/8/2022,Abide With Me,AM,TRUE
5/8/2022,My Jesus I Love Thee,PM,TRUE
5/8/2022,Crown Him With Many Crowns,AM,FALSE
5/8/2022,His Mercy Is More,AM,FALSE
5/8/2022,Praise To The Lord The Almighty,AM,FALSE
5/8/2022,We Will Feast In The House Of Zion,AM,FALSE
5/8/2022,All Praise To Him,PM,FALSE
5/8/2022,He Will Hold Me Fast,PM,FALSE
5/15/2022,Be Thou My Vision,AM,TRUE
5/15/2022,All Hail The Power Of Jesus Name,AM,FALSE
5/15/2022,Christ Is Mine Forevermore,AM,FALSE
5/15/2022,Jesus Strong And Kind,AM,FALSE
5/15/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
5/22/2022,All Glory Be To Christ,AM,TRUE
5/22/2022,Behold The Lamb,PM,TRUE
5/22/2022,10000 Reasons,AM,FALSE
5/22/2022,He Will Hold Me Fast,AM,FALSE
5/22/2022,Jesus What A Friend For Sinners,PM,FALSE
5/22/2022,Speak O Lord,AM,FALSE
5/22/2022,Tis So Sweet To Trust In Jesus,AM,FALSE
5/22/2022,Come Behold The Wondrous Mystery,PM,FALSE
5/22/2022,Doxology,PM,FALSE
5/29/2022,In Christ Alone,AM,TRUE
5/29/2022,A Mighty Fortress Is Our God,AM,FALSE
5/29/2022,Behold Our God,AM,FALSE
5/29/2022,Christ Our Hope In Life And Death,AM,FALSE
5/29/2022,Hallelujah For The Cross,AM,FALSE
6/5/2022,O Church Arise,AM,TRUE
6/5/2022,Grace Greater Than Our Sin,PM,TRUE
6/5/2022,All I Have Is Christ,AM,FALSE
6/5/2022,All Praise To Him,AM,FALSE
6/5/2022,How Firm A Foundation,AM,FALSE
6/5/2022,O Great God,AM,FALSE
6/5/2022,Nothing But The Blood,PM,FALSE
6/5/2022,Your Will Be Done,PM,FALSE
6/12/2022,Yet Not I But Through Christ In Me,AM,TRUE
6/12/2022,O For A Thousand Tongues To Sing,AM,FALSE
6/12/2022,Only A Holy God,AM,FALSE
6/12/2022,Speak O Lord,AM,FALSE
6/12/2022,When Trials Come,AM,FALSE
6/19/2022,Turn Your Eyes,AM,TRUE
6/19/2022,Christ The Sure And Steady Anchor,AM,FALSE
6/19/2022,Hallelujah For The Cross,AM,FALSE
6/19/2022,I Will Trust My Saviour Jesus,AM,FALSE
6/19/2022,Praise To The Lord The Almighty,AM,FALSE
6/26/2022,Your Will Be Done,AM,TRUE
6/26/2022,Before The Throne Of God Above,AM,FALSE
6/26/2022,Behold Our God,AM,FALSE
6/26/2022,Hail The Day That Christ Arose,AM,FALSE
6/26/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
7/3/2022,We Will Glorify,AM,TRUE
7/3/2022,Behold The Lamb,PM,TRUE
7/3/2022,All Hail The Power Of Jesus Name,AM,FALSE
7/3/2022,Christ The Sure And Steady Anchor,AM,FALSE
7/3/2022,He Will Hold Me Fast,AM,FALSE
7/3/2022,Holy Holy Holy Lord God Almighty,AM,FALSE
7/3/2022,Only A Holy God,AM,FALSE
7/3/2022,Jesus Paid It All,PM,FALSE
7/3/2022,Jesus Strong And Kind,PM,FALSE
7/10/2022,Amazing Grace,AM,TRUE
7/10/2022,All Creatures Of Our God And King,AM,FALSE
7/10/2022,Come Thou Fount,AM,FALSE
7/10/2022,Hail The Day That Christ Arose,AM,FALSE
7/10/2022,In Christ Alone,AM,FALSE
7/10/2022,The Gospel Song,AM,FALSE
7/17/2022,Jesus What A Friend For Sinners,AM,TRUE
7/17/2022,Jesus Paid It All,PM,TRUE
7/17/2022,Ancient of Days,AM,FALSE
7/17/2022,Christ Our Hope In Life And Death,AM,FALSE
7/17/2022,His Mercy Is More,AM,FALSE
7/17/2022,Holy Holy Holy Lord God Almighty,AM,FALSE
7/17/2022,When Trials Come,AM,FALSE
7/17/2022,10000 Reasons,PM,FALSE
7/17/2022,Yet Not I But Through Christ In Me,PM,FALSE
7/24/2022,Abide With Me,AM,TRUE
7/24/2022,Behold Our God,AM,FALSE
7/24/2022,How Firm A Foundation,AM,FALSE
7/24/2022,I Will Trust My Saviour Jesus,AM,FALSE
7/24/2022,O Great God,AM,FALSE
7/24/2022,See The Destined Day Arise,AM,FALSE
7/31/2022,O Church Arise,AM,TRUE
7/31/2022,Doxology,PM,TRUE
7/31/2022,10000 Reasons,AM,FALSE
7/31/2022,All I Have Is Christ,AM,FALSE
7/31/2022,Christ Is Mine Forevermore,AM,FALSE
7/31/2022,Praise To The Lord The Almighty,AM,FALSE
7/31/2022,Speak O Lord,AM,FALSE
7/31/2022,All Praise To Him,PM,FALSE
7/31/2022,His Mercy Is More,PM,FALSE
8/7/2022,Tis So Sweet To Trust In Jesus,AM,TRUE
8/7/2022,Be Thou My Vision,AM,FALSE
8/7/2022,By Faith,AM,FALSE
8/7/2022,Christ Our Hope In Life And Death,AM,FALSE
8/7/2022,Come Behold The Wondrous Mystery,AM,FALSE
8/7/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
8/14/2022,When Trials Come,AM,TRUE
8/14/2022,Behold The Lamb,PM,TRUE
8/14/2022,All Hail The Power Of Jesus Name,AM,FALSE
8/14/2022,All Praise To Him,AM,FALSE
8/14/2022,Before The Throne Of God Above,AM,FALSE
8/14/2022,Great Is Thy Faithfulness,AM,FALSE
8/14/2022,We Will Feast In The House Of Zion,AM,FALSE
8/14/2022,Jesus Strong And Kind,PM,FALSE
8/14/2022,Your Cross O Lord,PM,FALSE
8/21/2022,This Is My Father's World,AM,TRUE
8/21/2022,Ancient of Days,AM,FALSE
8/21/2022,Behold Our God,AM,FALSE
8/21/2022,How Firm A Foundation,AM,FALSE
8/21/2022,It Is Well With My Soul,AM,FALSE
8/21/2022,Not In Me,AM,FALSE
8/28/2022,All Glory Be To Christ,AM,TRUE
8/28/2022,And Can It Be,PM,TRUE
8/28/2022,Come Thou Fount,AM,FALSE
8/28/2022,How Deep The Father's Love For Us,AM,FALSE
8/28/2022,Jesus Strong And Kind,AM,FALSE
8/28/2022,O Fount Of Love,AM,FALSE
8/28/2022,O Great God,AM,FALSE
8/28/2022,All I Have Is Christ,PM,FALSE
8/28/2022,Whate'er My God Ordains Is Right,PM,FALSE
9/4/2022,Hallelujah For The Cross,AM,FALSE
9/4/2022,Praise To The Lord The Almighty,AM,FALSE
9/4/2022,By Faith,AM,FALSE
9/4/2022,Nothing But The Blood,AM,FALSE
9/4/2022,He Will Hold Me Fast,AM,FALSE
9/4/2022,Hallelujah What A Savior,AM,TRUE
9/11/2022,Hallelujah What A Savior,PM,TRUE
9/11/2022,All Hail The Power Of Jesus Name,AM,FALSE
9/11/2022,His Mercy Is More,AM,FALSE
9/11/2022,Holy Holy Holy Lord God Almighty,AM,TRUE
9/11/2022,Jesus Thank You,AM,FALSE
9/11/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
9/11/2022,Speak O Lord,AM,FALSE
9/11/2022,The King Of Love,PM,FALSE
9/11/2022,Be Thou My Vision,PM,FALSE
9/11/2022,The King Of Love,PM,FALSE
9/18/2022,Amazing Grace,AM,TRUE
9/18/2022,Come People Of The Risen King,AM,FALSE
9/18/2022,How Firm A Foundation,AM,FALSE
9/18/2022,I Love You Lord,AM,FALSE
9/18/2022,Jesus Thank You,AM,FALSE
9/18/2022,The Power Of The Cross,AM,FALSE
9/25/2022,We Will Feast In The House Of Zion,AM,TRUE
9/25/2022,All Praise To Him,AM,FALSE
9/25/2022,By Faith,AM,FALSE
9/25/2022,O For A Thousand Tongues To Sing,AM,FALSE
9/25/2022,O God Beyond All Praising,AM,FALSE
9/25/2022,See The Destined Day Arise,AM,FALSE
10/2/2022,All Glory Be To Christ,AM,TRUE
10/2/2022,Before The Throne Of God Above,AM,FALSE
10/2/2022,Come Thou Fount,AM,FALSE
10/2/2022,It Was Finished Upon That Cross,AM,FALSE
10/2/2022,See He Comes,AM,FALSE
10/2/2022,The King Of Love,AM,FALSE
10/9/2022,Christ Is Mine Forevermore,AM,TRUE
10/9/2022,Turn Your Eyes,PM,TRUE
10/9/2022,10000 Reasons,AM,FALSE
10/9/2022,Behold Our God,AM,FALSE
10/9/2022,Christ Our Hope In Life And Death,AM,FALSE
10/9/2022,Christ The Sure And Steady Anchor,AM,FALSE
10/9/2022,Holy Holy Holy Lord God Almighty,AM,FALSE
10/9/2022,Praise To The Lord The Almighty,PM,FALSE
10/9/2022,Whate'er My God Ordains Is Right,PM,FALSE
10/16/2022,O Church Arise,AM,TRUE
10/16/2022,Abide With Me,AM,FALSE
10/16/2022,All Creatures Of Our God And King,AM,FALSE
10/16/2022,Before The Throne Of God Above,AM,FALSE
10/16/2022,Come People Of The Risen King,AM,FALSE
10/16/2022,Living Hope,AM,FALSE
10/23/2022,The King Of Love,AM,TRUE
10/23/2022,Behold The Lamb,PM,TRUE
10/23/2022,All Praise To Him,AM,FALSE
10/23/2022,Come Thou Fount,AM,FALSE
10/23/2022,Hallelujah What A Savior,AM,FALSE
10/23/2022,Jesus Strong And Kind,AM,FALSE
10/23/2022,We Will Feast In The House Of Zion,AM,FALSE
10/23/2022,Come To Jesus (Rest In Him),PM,FALSE
10/23/2022,How Firm A Foundation,PM,FALSE
10/30/2022,Amazing Grace,AM,TRUE
10/30/2022,All I Have Is Christ,AM,FALSE
10/30/2022,By Faith,AM,FALSE
10/30/2022,Living Hope,AM,FALSE
10/30/2022,O For A Thousand Tongues To Sing,AM,FALSE
10/30/2022,We Will Glorify,AM,FALSE
11/6/2022,Christ Our Hope In Life And Death,AM,TRUE
11/6/2022,All Hail The Power Of Jesus Name,AM,FALSE
11/6/2022,Come People Of The Risen King,AM,FALSE
11/6/2022,Jesus Strong And Kind,AM,FALSE
11/6/2022,Nothing But The Blood,AM,FALSE
11/6/2022,What A Friend We Have In Jesus,AM,FALSE
11/13/2022,Whate'er My God Ordains Is Right,AM,TRUE
11/13/2022,10000 Reasons,AM,FALSE
11/13/2022,Christ Is Mine Forevermore,AM,FALSE
11/13/2022,Come Behold The Wondrous Mystery,AM,FALSE
11/13/2022,Come Thou Fount,AM,FALSE
11/13/2022,It Is Well With My Soul,AM,FALSE
11/20/2022,Hallelujah For The Cross,AM,TRUE
11/20/2022,All I Have Is Christ,AM,FALSE
11/20/2022,Holy Holy Holy Lord God Almighty,AM,FALSE
11/20/2022,It Was Finished Upon That Cross,AM,FALSE
11/20/2022,Jesus Paid It All,AM,FALSE
11/20/2022,See The Destined Day Arise,AM,FALSE
11/27/2022,Joy To The World,AM,TRUE
11/27/2022,By Faith,AM,FALSE
11/27/2022,Hallelujah What A Savior,AM,FALSE
11/27/2022,Jesus Thank You,AM,FALSE
11/27/2022,On Jordan's Stormy Banks,AM,FALSE
11/27/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
12/4/2022,O Come O Come Emmanuel,AM,TRUE
12/4/2022,O Come All Ye Faithful,PM,TRUE
12/4/2022,Afflicted Saint To Christ Draw Near,PM,FALSE
12/4/2022,All Praise To Him,AM,FALSE
12/4/2022,Come Thou Long-Expected Jesus,AM,FALSE
12/4/2022,O Great God,AM,FALSE
12/4/2022,The Gospel Song,AM,FALSE
12/4/2022,Whate'er My God Ordains Is Right,AM,FALSE
12/4/2022,O Fount Of Love,PM,FALSE
12/11/2022,We Will Feast In The House Of Zion,AM,TRUE
12/11/2022,All Creatures Of Our God And King,AM,FALSE
12/11/2022,Come Behold The Wondrous Mystery,AM,FALSE
12/11/2022,Hark! The Herald Angels Sing!,AM,FALSE
12/11/2022,Once In Royal David's City,AM,FALSE
12/11/2022,Praise To The Lord The Almighty,AM,FALSE
12/18/2022,Joy To The World,AM,TRUE
12/18/2022,When I Survey The Wondrous Cross,PM,TRUE
12/18/2022,Angels We Have Heard On High,AM,FALSE
12/18/2022,His Mercy Is More,AM,FALSE
12/18/2022,O Come All You Unfaithful,AM,FALSE
12/18/2022,Only A Holy God,AM,FALSE
12/18/2022,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
12/18/2022,Come Thou Long-Expected Jesus,PM,FALSE
12/18/2022,O Come O Come Emmanuel,PM,FALSE
12/25/2022,O Come All Ye Faithful,AM,TRUE
12/25/2022,Angels We Have Heard On High,AM,FALSE
12/25/2022,Go Tell It On The Mountain,AM,FALSE
12/25/2022,Hark! The Herald Angels Sing!,AM,FALSE
12/25/2022,Joy To The World,AM,FALSE
12/25/2022,What Child Is This,AM,FALSE
1/1/2023,All Glory Be To Christ,AM,TRUE
1/1/2023,10000 Reasons,AM,FALSE
1/1/2023,Be Thou My Vision,AM,FALSE
1/1/2023,Immortal Invisible,AM,FALSE
1/1/2023,Thy Mercy My God,AM,FALSE
1/1/2023,Your Will Be Done,AM,FALSE
1/8/2023,Amazing Grace,AM,TRUE
1/8/2023,And Can It Be,PM,TRUE
1/8/2023,All Hail The Power Of Jesus Name,AM,FALSE
1/8/2023,All I Have Is Christ,AM,FALSE
1/8/2023,Come People Of The Risen King,AM,FALSE
1/8/2023,Come Thou Fount,AM,FALSE
1/8/2023,O Church Arise,AM,FALSE
1/8/2023,O Great God,PM,FALSE
1/8/2023,Solid Rock/My Hope Is Built On Nothing Less,PM,FALSE
1/15/2023,He Will Hold Me Fast,AM,TRUE
1/15/2023,Blessed Assurance,AM,FALSE
1/15/2023,Crown Him With Many Crowns,AM,FALSE
1/15/2023,Man Of Sorrows,AM,FALSE
1/15/2023,Thy Mercy My God,AM,FALSE
1/15/2023,When Trials Come,AM,FALSE
1/22/2023,Christ Our Hope In Life And Death,AM,TRUE
1/22/2023,Here Is Love,PM,TRUE
1/22/2023,A Mighty Fortress Is Our God,AM,FALSE
1/22/2023,Across The Lands,AM,FALSE
1/22/2023,Afflicted Saint To Christ Draw Near,AM,FALSE
1/22/2023,All I Have Is Christ,AM,FALSE
1/22/2023,All Praise To Him,AM,FALSE
1/22/2023,Behold The Lamb,PM,FALSE
1/22/2023,Doxology,PM,FALSE
1/22/2023,Jesus Strong And Kind,PM,FALSE
1/22/2023,See The Destined Day Arise,PM,FALSE
1/29/2023,Solid Rock/My Hope Is Built On Nothing Less,AM,TRUE
1/29/2023,By Faith,AM,FALSE
1/29/2023,Christ Is Mine Forevermore,AM,FALSE
1/29/2023,How Firm A Foundation,AM,FALSE
1/29/2023,How Rich A Treasure We Possess,AM,FALSE
1/29/2023,Whate'er My God Ordains Is Right,AM,FALSE
2/5/2023,Yet Not I But Through Christ In Me,AM,TRUE
2/5/2023,Before The Throne Of God Above,AM,FALSE
2/5/2023,His Mercy Is More,AM,FALSE
2/5/2023,O For A Thousand Tongues To Sing,AM,FALSE
2/5/2023,O Great God,AM,FALSE
2/5/2023,When I Survey The Wondrous Cross,AM,FALSE
2/12/2023,In Christ Alone,AM,TRUE
2/12/2023,Come Behold The Wondrous Mystery,AM,FALSE
2/12/2023,Come To Jesus (Rest In Him),AM,FALSE
2/12/2023,Hallelujah What A Savior,AM,FALSE
2/12/2023,Jerusalem,AM,FALSE
2/12/2023,The Gospel Song,AM,FALSE
2/19/2023,Behold The Lamb,AM,TRUE
2/19/2023,Yet Not I But Through Christ In Me,PM,TRUE
2/19/2023,Come Thou Fount,AM,FALSE
2/19/2023,How Rich A Treasure We Possess,AM,FALSE
2/19/2023,Not In Me,AM,FALSE
2/19/2023,O Fount Of Love,AM,FALSE
2/19/2023,Near The Cross,PM,FALSE
2/19/2023,O Great God,PM,FALSE
2/26/2023,What A Friend We Have In Jesus,AM,TRUE
2/26/2023,All Creatures Of Our God And King,AM,FALSE
2/26/2023,Come To Jesus (Rest In Him),AM,FALSE
2/26/2023,Hallelujah For The Cross,AM,FALSE
2/26/2023,Solid Rock/My Hope Is Built On Nothing Less,AM,FALSE
2/26/2023,Speak O Lord,AM,FALSE
3/5/2023,He Will Hold Me Fast,AM,TRUE
3/5/2023,All Glory Be To Christ,PM,TRUE
3/5/2023,10000 Reasons,AM,FALSE
3/5/2023,All Praise To Him,AM,FALSE
3/5/2023,Be Thou My Vision,AM,FALSE
3/5/2023,It Is Well With My Soul,AM,FALSE
3/5/2023,See He Comes,AM,FALSE
3/5/2023,How Firm A Foundation,PM,FALSE
3/5/2023,Whate'er My God Ordains Is Right,PM,FALSE
3/12/2023,All I Have Is Christ,AM,TRUE
3/12/2023,Living Hope,AM,FALSE
3/12/2023,Not In Me,AM,FALSE
3/12/2023,Nothing But The Blood,AM,FALSE
3/12/2023,Praise To The Lord The Almighty,AM,FALSE
3/12/2023,The Power Of The Cross,AM,FALSE
3/19/2023,O Church Arise,AM,TRUE
3/19/2023,In Christ Alone,PM,TRUE
3/19/2023,Across The Lands,AM,FALSE
3/19/2023,Almost Home,AM,FALSE
3/19/2023,Jesus Paid It All,AM,FALSE
3/19/2023,We Will Feast In The House Of Zion,AM,FALSE
3/19/2023,We Will Glorify,AM,FALSE
3/19/2023,There is a Happy Land,PM,FALSE
3/19/2023,Your Will Be Done,PM,FALSE
3/26/2023,All Glory Be To Christ,AM,TRUE
3/26/2023,Christ Is Mine Forevermore,AM,FALSE
3/26/2023,Christ Our Hope In Life And Death,AM,FALSE
3/26/2023,Crown Him With Many Crowns,AM,FALSE
