title,attributes,author_group,authors,year
10000 Reasons,"refrain,",,Matt Redman,2011
A Mighty Fortress Is Our God,"hymn,",,Martin Luther,1529
Abide With Me,"hymn,",,"Henry Francis Lyte, William Henry Monk",1847
Across The Lands,"refrain,",Getty Music,Keith Getty | Stuart Townend,2002
Afflicted Saint To Christ Draw Near,"refrain,hymn,",CHBC,Constance Dever,2018
Alas And Did My Savior Bleed,"hymn,",,Isaac Watts,1707
All Creatures Of Our God And King,"hymn,",Sovereign Grace,"St. Francis of Assisi, William Henry Draper",1225
All Glory Be To Christ,"refrain,hymn,",,Dustin Kensrue,2012
All Hail The Power Of Jesus Name,"hymn,",,"Edward Perronet, John Rippon, Oliver Holden",1780
All I Have Is Christ,"refrain,",Sovereign Grace,Jordan Kauflin,2008
All Peoples That on Earth Do Dwell,"hymn,",,Louis Bourgeois | William Kethe,1561
All Praise To Him,,Sovereign Grace,Bob Kauflin | Matt Merker,2017
All Sufficient Merit,"refrain,",Worship Initiative,"Bethany Dillon, Bethany Barnard",2023
All Things,"refrain,",Sovereign Grace,"David Zimmer, Nathan Stiff",2024
Almost Home,"refrain,",Getty Music,Lauren Papa | Matt Boswell | Matt Papa,2021
Amazing Grace,"hymn,",,John Newton,1779
Ancient of Days,,CityAlight,Jesse Reeves | Jonny Robinson | Michael Farren | Rich Thompson,2018
And Can It Be,"hymn,",,Charles Wesley | Thomas Campbell,1738
Angels From the Realm of Glory,"christmas,hymn,",,Henry Thomas Smart | James Montgomery,1816
Angels We Have Heard On High,"christmas,hymn,",,Edward Shippen Barnes | James Chadwick,1842
Away in a Manger,"christmas,hymn,",,Martin Luther,1524
Be Thou My Vision,"hymn,",,,1905
Before The Throne Of God Above,,Sovereign Grace,Charitie Lees Bancroft | Vikki Cook,1997
Behold Our God,"refrain,",Sovereign Grace,Jonathan Baird | Meghan Baird | Ryan Baird | Stephen Altrogge,2011
Behold The Lamb,,Getty Music,Keith Getty | Kristyn Getty | Stuart Townend,2007
Bless The Lord O My Soul (Psalm 103),,Sovereign Grace,David Fournier | David Zimmer,2021
Blessed Assurance,"refrain,hymn,",,Fanny Crosby,1873
By Faith,"refrain,",Getty Music,Keith Getty | Kristyn Getty | Stuart Townend,2009
Christ Is Mine Forevermore,,CityAlight,Jonny Robinson | Rich Thompson,2016
Christ Is Risen He Is Risen Indeed,"refrain,",Sovereign Grace,Ed Cash | Keith Getty | Kristyn Getty,2012
Christ Our Hope In Life And Death,"refrain,",Getty Music,Jordan Kauflin | Keith Getty | Matt Boswell | Matt Papa | Matthew Merker,2020
Christ Our Wisdom,,Sovereign Grace,Bob Kauflin | Jonathan Althoff | Nathan Stiff,2024
Christ The Sure And Steady Anchor,,Getty Music,Matthew Boswell | Matthew Papa,2015
Christ The True And Better,"refrain,",Getty Music,Keith Getty | Matt Boswell | Matt Papa,2020
Come Behold The Wondrous Mystery,,Getty Music,Matt Boswell | Matt Papa | Michael Bleecker,2012
Come People Of The Risen King,,Getty Music,Keith Getty | Kristyn Getty | Stuart Townend,2007
Come Thou Fount,"hymn,",,John Wyeth | Robert Robinson,1758
Come Thou Long-Expected Jesus,"christmas,hymn,",,Charles Wesley,1744
Come To Jesus (Rest In Him),"refrain,",Getty Music,Jordan Kauflin | Matthew Merker,2021
Come Unto Jesus,"refrain,",Getty Music,"Laura Story, Jordan Kauflin",2023
Crown Him With Many Crowns,"hymn,",,George Job Elvey | Godfrey Thring | Matthew Bridges,1851
Dear Refuge Of My Weary Soul,"hymn,",,"Anne Steele, Matt Merker",1760
Doxology,"hymn,",,,1674
Exult in the Savior's Birth,"christmas,",Getty Music,D. A. Carson | Matt Boswell,2013
From the Squalor of a Borrowed Stable/Immanuel,"christmas,",Getty Music,Stuart Townend,1999
Go Tell It On The Mountain,"christmas,",,John W. Work Jr.,1907
God Is For Us,"refrain,",CityAlight,James Ferguson | James Tealy | Jesse Reeves | Jonny Robinson | Michael Farren | Rich Thompson | Tiarne Tranter,2018
God Rest Ye Merry Gentlemen,"christmas,hymn,",,,1650
Grace Greater Than Our Sin,"hymn,",,Daniel Brink Towner | Julia Harriette Johnston,1910
Great Is Thy Faithfulness,"refrain,hymn,",,Thomas Obediah Chisholm | William Marion Runyan,1923
Hail The Day That Christ Arose,"refrain,",Sovereign Grace,Charles Wesley | Steve Cook | Vikki Cook,1739
Hallelujah For The Cross,"refrain,",,"Ross King, Todd Wright",2012
Hallelujah What A Savior,"hymn,",,Philip Paul Bliss,1875
Hark! The Herald Angels Sing!,"christmas,hymn,",,Charles Wesley | Felix Mendelssohn-Bartholdy,1739
He Gives More Grace,"refrain,",CHBC,Constance Dever | Annie Johnson Flint | Jane Manton Marshall,1900
He Will Hold Me Fast,"refrain,hymn,",Getty Music,Ada Ruth Habershon | Matthew Merker,1906
Here Is Love,"hymn,",,William Rees,1904
His Mercy Is More,"refrain,",Getty Music,Matt Boswell | Matt Papa,2016
Holy Holy Holy Lord God Almighty,"hymn,",,John Bacchus Dykes | Reginald Heber,1826
How Deep The Father's Love For Us,,Getty Music,Stuart Townend,1995
How Firm A Foundation,"hymn,",,,1787
How Rich A Treasure We Possess,,Getty Music,Matt Boswell | Matt Papa,2010
How Sweet And Aweful Is The Place,"hymn,",,Isaac Watts,1707
I Hear the Words of Love,"hymn,",,Benjamin Brainard | Horatius Bonar,1857
I Love You Lord,,,Laurie Klein,1978
I Set My Hope On Jesus,"refrain,",Getty Music,Keith Getty | Matt Boswell | Matt Papa,2018
I Will Glory in My Redeemer,"refrain,",Sovereign Grace,Steve Cook | Vikki Cook,2001
I Will Trust My Saviour Jesus,"refrain,",CityAlight,Jaywan Maxwell | Jonny Robinson | Lucy Ann Bennett | Rich Thompson | Tiarne Tranter,2018
Immortal Invisible,"hymn,",,Walter Chalmers Smith,1867
In Christ Alone,,Getty Music,Keith Getty | Stuart Townend,2001
"Infant Holy, Infant Lowly","christmas,",,,1920
It Came Upon a Midnight Clear,"christmas,",,Edmund Hamilton Sears | Richard Storrs Willis,1849
It Is Well With My Soul,"refrain,hymn,",,Horatio Gates Spafford | Philip Paul Bliss,1873
It Was Finished Upon That Cross,,CityAlight,Jonny Robinson | Nigel Hendroff | Rich Thompson,2021
Jerusalem,,CityAlight,Jonny Robinson | Rich Thompson | Tiarne Tranter,1916
Jerusalem My Happy Home,"hymn,",,Joseph Bromehead,1790
Jesus Joy Of The Highest Heaven,"christmas,",Getty Music,Keith Getty | Kristyn Getty,2011
Jesus Our Judge and Our Savior,"refrain,",Sovereign Grace,,2019
Jesus Paid It All,"refrain,hymn,",,,1865
Jesus Shall Reign,"hymn,",,,1719
Jesus Strong And Kind,"refrain,",CityAlight,Colin Buchanan | Jonny Robinson | Michael Farren | Rich Thompson,2019
Jesus Thank You,"refrain,",Sovereign Grace,Pat Sczebel,2003
Jesus What A Friend For Sinners,"refrain,hymn,",,,1868
Joy Has Dawned,"christmas,",Getty Music,Stuart Townend,2004
Joy To The World,"christmas,",,,1719
Joyful Joyful We Adore Thee,"christmas,hymn,",,,1907
Let All Mortal Flesh Keep Silence,"christmas,hymn,",,,1864
Living Hope,"refrain,",Bethel Music,Phil Wickam,2017
Lo How a Rose E'er Blooming,"christmas,hymn,",,,1599
"Lo, He Comes, With Clouds Descending","hymn,",,,1758
Man Of Sorrows,"refrain,",Hillsong,,2012
May the Peoples Praise You,"refrain,",Getty Music,,2016
My Jesus Fair,"hymn,",,,2008
My Jesus I Love Thee,"hymn,",,,1864
My Worth is Not in What I Own,"refrain,",Getty Music,Graham Kendrick | Keith Getty | Kristyn Getty,2014
Near The Cross,"refrain,hymn,",,,1869
Not In Me,,,Dan Wells | David Ward | Eric Schumacher,2012
Nothing But The Blood,"refrain,hymn,",,,1876
O Church Arise,,Getty Music,,2005
O Come All Ye Faithful,"christmas,hymn,",,,1751
O Come All You Unfaithful,"christmas,",Sovereign Grace,Bob Kauflin | Lisa Clow,2020
O Come O Come Emmanuel,"christmas,hymn,",,,1100
O For A Thousand Tongues To Sing,"hymn,",,,1739
O Fount Of Love,,Getty Music,Matt Boswell | Matt Papa,2008
O God Beyond All Praising,"hymn,",,,1982
O Great God,,Sovereign Grace,Bob Kauflin,2006
O Holy Night,"christmas,refrain,",,,1847
O Little Town of Bethlehem,"christmas,",,,1868
O Lord My Rock and My Redeemer,,Sovereign Grace,Nathan Stiff,2017
O Praise the Name,"refrain,",Hillsong,,2015
"O the Deep, Deep Love of Jesus","refrain,hymn,",sov,Samuel Trevor Francis,1875
Oh How Good It Is,,Getty Music,,2012
On Jordan's Stormy Banks,"refrain,",Getty Music,"Christopher Miner, Samuel Stennett",1787
Once In Royal David's City,"christmas,hymn,",,,1848
Only A Holy God,"refrain,",CityAlight,,2016
Praise To The Lord The Almighty,"hymn,",,,1680
Rejoice The Lord Is King,"hymn,",,,1746
Rock Of Ages,"hymn,",,,1776
See He Comes,"refrain,",Sovereign Grace,Charles Wesley | John Cennick | Rich Gunderlock | Zach Sprowls,2010
See The Destined Day Arise,"refrain,hymn,",Sovereign Grace,Matthew Merker | Richard Mant | Venantius Honorius Clementianus Fortunatus,569
Silent Night,"christmas,",,,1818
Sing We The Song of Emmanuel,"christmas,",Getty Music,Keith Getty | Matt Boswell | Matt Papa | Stuart Townend,2015
Solid Rock/My Hope Is Built On Nothing Less,"refrain,hymn,",,,1834
Speak O Lord,,Getty Music,Keith Getty | Stuart Townend,2005
Stricken Smitten And Afflicted,"hymn,",,,1804
Take My Life And Let It Be,"hymn,",,,1874
The First Nowell,"chistmas,hymn,",,,1600
The Goodness Of Jesus,"refrain,",CityAlight,Fiona Aghajanian | Harrison Druery | Jaywan Maxwell | Jonny Robinson | Michael Farren | Rich Thompson,2019
The Gospel Song,,Sovereign Grace,Bob Kauflin | Drew Jones,2002
The King Of Love,"hymn,",,,1868
The Lord Is By My Side,"refrain,",CityAlight,Colin Buchanan | James Ferguson | Jonny Robinson | Rich Thompson,2019
The Power Of The Cross,"refrain,",Getty Music,Keith Getty | Stuart Townend,2005
The Sands of Time Are Sinking,"hymn,",CHBC,Anne Ross Cousin | Constance Dever,1857
There Is A Fountain,"hymn,",,,1772
There is a Happy Land,"hymn,",,,1838
This Is My Father's World,"hymn,",,,1901
Thou Who Wast Rich Beyond All Splendor,"christmas,hymn,",,,1934
Though the Fig Tree,"hymn,",CHBC,Constance Dever,2024
Thy Mercy My God,,,John Stocker | Sandra McCracken,1776
Tis So Sweet To Trust In Jesus,"refrain,",,,1882
Turn Your Eyes,"refrain,",Sovereign Grace,,2019
We Will Feast In The House Of Zion,"refrain,",,Joshua Moore | Sandra McCracken,2015
We Will Glorify,,,Twila Paris,1982
What A Friend We Have In Jesus,,,,1855
What Child Is This,"christmas,",,,1865
Whate'er My God Ordains Is Right,,Getty Music,Catherine Winkworth | Keith Getty | Matthew Merker | Samuel Rodigast,1675
When I Survey The Wondrous Cross,"hymn,",,,1707
When Trials Come,,Getty Music,Keith Getty | Kristyn Getty,2008
While Shepherds Watched Their Flocks By Night,"christmas,hymn,",,,1700
Yet Not I But Through Christ In Me,"refrain,",CityAlight,Jonny Robinson | Michael Farren | Rich Thompson,2018
Your Cross O Lord,,Joyful Noise,Sam Brewster | Thomas Brewster,2018
Your Will Be Done,,CityAlight,Jonny Robinson | Rich Thompson,2020